title,url,category,rank,author,original_price,price,savings_percentage
"Chasing the Horizon: A true story of grit, hope and perseverance ǀ Life lessons to become a better version of yourself",https://www.amazon.in/Chasing-Horizon-perseverance-lessons-yourself/dp/9395192216/ref=zg_bs_books_sccl_24/261-8707380-3453467?psc=1,Addiction & Recovery,#1,Sundeep Singh,299.00,279.00,7%
The Hidden Hindu (Hindi Translation of The Hidden Hindu),https://www.amazon.in/Hidden-Hindu-Hindi-Translation/dp/9355213794/ref=zg_bs_books_sccl_25/261-8707380-3453467?psc=1,None,None,Akshat Gupta,250.00,155.00,38%
"NTA UGC NET /SET/JRF Paper 1, Teaching and Research Aptitude – 2023, Includes latest 2022 paper and 2600+ Practice Questions with Solutions | Includes NEP - 2020| 7th Edition - By Pearson",https://www.amazon.in/NTA-Paper-Teaching-Research-Aptitude/dp/935606590X/ref=zg_bs_books_sccl_26/261-8707380-3453467?psc=1,UGC Exam,#3,KVS Madaan,550.00,349.00,37%
Life's Amazing Secrets: How to find Bala,https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=zg_bs_books_sccl_27/261-8707380-3453467?psc=1,Spirituality,#1,"Gaur Gopal Das (Author, Contributor)",250.00,144.00,42%
"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old [Paperback] Maple Press",https://www.amazon.in/Colouring-Books-Set-10/dp/9350332167/ref=zg_bs_books_sccl_28/261-8707380-3453467?psc=1,Painting,#2,Maple Press,300.00,210.00,30%
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=zg_bs_books_sccl_29/261-8707380-3453467?psc=1,Economics Books,#1,"Dale Carnegie,",699.00,325.00,54%
"MTG Objective NCERT at your FINGERTIPS Biology - NCERT Notes with HD Pages, Based on NCERT Exam Archive Questions, NEET Books (Latest & Revised Edition 2023-2024) (Paperback, MTG Editorial Board)",https://www.amazon.in/Objective-NCERT-your-FINGERTIPS-Biology/dp/9355555946/ref=zg_bs_books_sccl_30/261-8707380-3453467?psc=1,AIIMS & NEET Exams,#1,MTG Editorial Board,999.00,639.00,36%
You Can,https://www.amazon.in/You-Can-George-Matthew-Adams/dp/9389931843/ref=zg_bs_books_sccl_1/257-5962531-4262019?psc=1,None,None,George Matthew Adams,149.00,99.00,34%
BPSC Bihar Shikshak Bahali Samanya Adhyayan: Prathamik Vidyalaya Ke Adhyapakon Ke Liye,https://www.amazon.in/Bihar-Shikshak-Bahali-Samanya-Adhyayan/dp/9354886558/ref=zg_bs_books_sccl_2/257-5962531-4262019?psc=1,Bihar Public Service Commission (BPSC),#1,IAS (AIR-49) Dr. Ranjit Kumar Singh,495.00,425.00,14%
Concept of Physics by H.C Verma Part - II - Session 2022-23,https://www.amazon.in/Concept-Physics-Part-2-2018-2019-Session/dp/8177092324/ref=zg_bs_books_sccl_3/257-5962531-4262019?psc=1,None,None,H.C. Verma,495.00,375.00,24%
